"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
137.6,35,"Lespedeza melanantha",3407039868,"","JPN",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
137.4,35,"Lespedeza melanantha",3324835411,"","JPN",NA,1954,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
127.294894,35.542997,"Lespedeza melanantha",3110403123,"56-1, Botong-ri","KOR",NA,2020,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
127.508333,35.269444,"Lespedeza melanantha",2200596820,"지리산 Jiri-san 화엄사곡","KOR",400,1982,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
127.730574,35.337067,"Lespedeza melanantha",2200589917,"지리산 Jiri-san","KOR",4000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
126.369444,34.466667,"Lespedeza melanantha",2200599733,"벌포 Beolpo","KOR",400,1964,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
127.825867,36.099157,"Lespedeza melanantha",2200492277,"민주지산 Minjuji-san 상고자-삼봉","KOR",2000,1964,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
127.31356,35.001274,"Lespedeza melanantha",2200488499,"조계산 Jogye-san","KOR",4000,1976,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
126.758333,34.713889,"Lespedeza melanantha",2200611891,"군자 Gunja","KOR",2000,1966,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
126.53384,33.36129,"Lespedeza melanantha",2200582124,"한라산 Halla-san 백록담","KOR",200,1957,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
128.119444,35.822222,"Lespedeza melanantha",2200590969,"가야산 Gaya-san","KOR",4000,1968,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
125.955556,37.086111,"Lespedeza melanantha",2200589242,"백아도 Baega-do","KOR",2000,1952,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
127.693519,35.317869,"Lespedeza melanantha",2200592761,"지리산 Jiri-san 세석","KOR",400,1963,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
127.205819,36.342513,"Lespedeza melanantha",2200593886,"계룡산 Gyeryongsan","KOR",2000,1960,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
