"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-39.4,-16.9,"Merostachys bifurcata",2998231581,"Parque Nacional Monte Pascoal, located 14 Km east of BR 101 at a point 13 Km north of Itamaraju.","BRA",NA,1976,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-39.25,-16.13,"Merostachys bifurcata",912093030,"Reserva Gregorio Bondar of CEPLAC's Estacao Experimental.","BRA",0.2,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-39.6,-14,"Merostachys bifurcata",912093086,"Mun. de Ibirataia. 23 Km N of Ibirataia, on side road connecting with BR-101. Faz. Macedonia.","BRA",0.2,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-39.333333,-17.183333,"Merostachys bifurcata",1090456357,"Reserva Florestal da Brasil Holanda S.A., entrada no E Km 18 a E Itamaraju. Rod. p/ Prado, a 8Km da entrada.","BRA",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-39.3125,-16.450278,"Merostachys bifurcata",2465051038,"Parque Nacional Pau Brasil, Estrada Pau Brasil","BRA",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-39.137222,-15.567778,"Merostachys bifurcata",1094899125,"Ramal do Barreiro, ca. 4,9km da estrada Canavieiras/Sta. Luzia. Faz. Lagos. Mata próxima à plantação de mamão.","BRA",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-35.002778,-7.8375,"Merostachys bifurcata",1087075163,"Mata Atlântica, interior da mata em local muito úmido. População densa, Mata da Piedade.","BRA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
