"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
18.33,-34.15,"Metalasia compacta",1096721704,"Flora of South Africa. Cape Province. Cape Div.: Cape Peninsula, upper gradual slopes of mtn above Kommetjie, above St. Josephs Church.","ZAF",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
18.432487,-34.266513,"Metalasia compacta",3355718936,"","ZAF",122,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.333851,-34.144426,"Metalasia compacta",3963503012,"","ZAF",50,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
