"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
26.333333,-33.25,"Ammophila dolichodera",1315174422,"Hilton, Grahamstown","ZA",NA,1970,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
18.883333,-23.9,"Ammophila dolichodera",1315176974,"Gobabis","NAM",NA,1973,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
32.233333,-27.616667,"Ammophila dolichodera",1315174254,"Mkuze Game Reserve","ZA",NA,1984,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
19.7,-33.233333,"Ammophila dolichodera",1315177005,"43km ENE of Ceres on road to Sutherland","ZA",NA,1989,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
27.483611,-25.780556,"Ammophila dolichodera",1315177012,"Buffelspoort Dam","ZA",NA,1971,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
27.733333,-23.666667,"Ammophila dolichodera",1315176997,"Ellisras","ZA",NA,1974,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
31.25,-25.158333,"Ammophila dolichodera",1315176986,"Pretoriuskop, Kruger National Park","ZA",NA,1985,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
22.238333,-33.626389,"Ammophila dolichodera",1315174261,"Onverwacht, Oudtshoorn","ZA",NA,1986,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
22.238333,-33.668056,"Ammophila dolichodera",1315174243,"Oudtshoorn, Frischgewaagd, site 1","ZA",NA,1986,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
20.320833,-33.477778,"Ammophila dolichodera",1315174272,"Bloutoring","ZA",NA,1986,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
22.273333,-33.128333,"Ammophila dolichodera",1315174390,"Tierberg farm (Res. Stat.), Prince Albert Dist.","ZA",NA,1987,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
20.666667,-26.4,"Ammophila dolichodera",1315161026,"Kalahari Gemsbok National Park, Nossob R bed, 11km NNE of Tweerivieren","ZA",NA,1990,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
20.666667,-25.566667,"Ammophila dolichodera",1315161048,"Kalahari Gemsbok National Park, Nossob R bed, c. 20km S of Nossob Rest Camp","ZA",NA,1990,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
26.466667,-33.283333,"Ammophila dolichodera",1315176563,"Strowan, Grahamstown","ZA",NA,1967,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
