"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-8.3975,7.712,"Polygala cristata",1257765372,"Nimba Mountains Reserve, reserve border road close to Camp 1 (Mifergui).","GIN",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-8.394667,7.6655,"Polygala cristata",2517749084,"Nimba Mountains, plot JRSH08, towards Mt Leclerc.","GIN",NA,2007,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-8.533333,7.533333,"Polygala cristata",1257792673,"Nimba Reserve.","LBR",NA,1965,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-11.166667,9.883333,"Polygala cristata",4062145478,"Gberia Fotombu","SLE",NA,1951,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
