"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-47.822417,-13.679917,"Mimosa kalunga",1806850609,"Reserva Natural Serra do Tombador, Estrada GO 241, Cavalcante#?#Minaçu; 4 km a partir do entroncamento com a estrada para a sede da reserva; trilha em direção a elevações à esquerda da estrada.","BRA",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-47.526417,-13.604028,"Mimosa kalunga",1806849015,"Chapada dos Veadeiros, Estrada de terra GO 241, Cavalcante-Prata; saída a norte da área urbana de Cavalcante, seguindo à esquerda na bifurcação para Engenho II, ca. 27 km de Cavalcante; margem esquerda da estrada.","BRA",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-47.775,-13.629806,"Mimosa kalunga",1806850745,"Estrada GO 241, Minaçu#?#Cavalcante; a 8,1 km do entroncamento com a estrada para a sede da Reserva Natural Serra do Tombador.","BRA",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-47.483333,-13.533333,"Mimosa kalunga",1095253189,"Brasil - Goiás - Cavalcante, Vila Engenho para Cachoeira Santa Barbara, campo sujo, solo arenoso.","BRA",NA,2002,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-47.913055,-13.730833,"Mimosa kalunga",1587326701,"Entre RPPN Serra do Tombador e Minaçu, 16,5 km W da sede (estrada Rocinha).","BRA",NA,2015,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-47.880001,-13.500005,"Mimosa kalunga",3800710455,"Conglomerado: GO-63. Subunidade 02, subparcela 01, indivíduo 06 .","BRA",NA,2018,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
