"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
117.083333,-0.583333,"Sindora beccariana",2513156340,"Borneo.Loa Djanan, West of Samarina.","IDN",NA,1952,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
113.166666,3.333333,"Sindora beccariana",2515491059,"Buan F.R., Bintulu District, 4th Division.","MYS",NA,1972,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.870833,4.854167,"Sindora beccariana",2515493274,"Sg. Marais Tomami. Tenom.","MYS",NA,1968,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
110.133333,-1.216667,"Sindora beccariana",2514187152,"Cabang Panti Research Site.","IDN",NA,1996,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.2,-0.78,"Sindora beccariana",2514218147,"A.E. Borneo. E. Kutei, Sg. Tiram.","IDN",NA,1952,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.75,5.35,"Sindora beccariana",2515491451,"Beaufort Hill across valley right of rentis. Beaufort.","MYS",NA,1963,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.766667,-1.033333,"Sindora beccariana",2515491354,"S.E. Borneo, Subdistrict of Balikpapan. Mentawir river basin.","IDN",NA,1951,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.466667,5.016667,"Sindora beccariana",2513158575,"Sibubu River (Mengalong Forest Reserve) 3 1/2 miles S.S.W. of Sipitang.","MYS",NA,1955,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
118.083333,4.283333,"Sindora beccariana",2515492060,"Gadingspecial licence area, Tawau","MYS",NA,1963,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
109.9,1.566666,"Sindora beccariana",2515491546,"","MYS",NA,1968,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
113.333333,3.583333,"Sindora beccariana",2514148120,"Sarawak, 4th Diovision, sintulu District, Semilajau FR.","MYS",NA,1972,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.033333,5.083333,"Sindora beccariana",2515493351,"Mandalom F.R., Tenom Distr.","MYS",NA,1962,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
114.716667,4.7,"Sindora beccariana",2515491684,"Beruang, Bukit","BRN",NA,1994,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.65,5.683333,"Sindora beccariana",2513156637,"Coupe 1975/A Lungmanis. Sandakan.","MYS",NA,1975,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.4,5.75,"Sindora beccariana",2514237145,"","MYS",NA,1975,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.916666,4.816666,"Sindora beccariana",2514182165,"Tanjong F.R., Tawau.","MYS",NA,1964,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
118.566666,5.516666,"Sindora beccariana",2515487931,"Lahad Datu.Near head of East (1/4 mile) Gajah river, North Borneo timber Co., Concession Area, Kretam.","MYS",NA,1954,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
