"spp_file","num_occ","num_occ_sregion"
"Aloe_microstigma.csv",113,74
"Aloe_perfoliata.csv",105,64
"Aloe_pluridens.csv",39,24
"Aloe_speciosa.csv",48,35
"Aloe_spicata.csv",46,36
"Aloe_striata.csv",109,82
"Aloe_zebrina.csv",71,62
"Aloiampelos_ciliaris.csv",56,21
"Aloiampelos_tenuior.csv",36,27
"Aloidendron_barberae.csv",30,29
"Aloidendron_dichotomum.csv",73,60
"Alsophila_manniana.csv",140,24
"Alternanthera_pungens.csv",1231,86
"Alternanthera_sessilis.csv",2221,75
"Alvesia_rosmarinifolia.csv",29,28
"Alysicarpus_glumaceus.csv",257,22
"Alysicarpus_ovalifolius.csv",1094,21
"Alysicarpus_rugosus.csv",348,55
"Alysicarpus_vaginalis.csv",913,53
"Amaranthus_hybridus.csv",4533,47
"Amaranthus_spinosus.csv",1624,27
"Amaranthus_viridis.csv",1737,22
"Amaryllis_belladonna.csv",734,57
"Amauropelta_bergiana.csv",105,63
"Ambavia_gerrardii.csv",39,30
"Amblygonocarpus_andongensis.csv",89,28
"Ammannia_prieuriana.csv",82,23
"Ammocharis_coranica.csv",164,148
"Ammocharis_longifolia.csv",39,27
"Ammophila_beniniensis.csv",99,84
"Ammophila_conifera.csv",25,23
"Ammophila_dolichocephala.csv",31,27
"Ammophila_insignis.csv",34,27
"Ammophila_punctaticeps.csv",25,22
"Ammophila_rubripes.csv",126,112
"Ampelocissus_africana.csv",133,59
"Ampelocissus_obtusata.csv",46,41
"Ampelopteris_prolifera.csv",116,27
"Amsinckia_menziesii.csv",1528,29
"Amyrea_humbertii.csv",33,28
"Anacampseros_arachnoides.csv",57,45
"Anacampseros_telephiastrum.csv",42,32
"Anacardium_occidentale.csv",2504,67
"Anacolosa_casearioides.csv",27,24
"Anacolosa_pervilleana.csv",62,50
"Anchusa_capensis.csv",62,39
"Ancylobothrys_capensis.csv",42,32
"Ancylobothrys_petersiana.csv",48,39
"Ancylobotrys_petersiana.csv",28,23
"Andropogon_appendiculatus.csv",29,27
"Andropogon_eucomus.csv",154,130
"Andropogon_gayanus.csv",1836,31
"Andropogon_schirensis.csv",535,74
"Andropogon_trichozygus.csv",29,26
"Aneilema_aequinoctiale.csv",138,73
"Aneilema_hockii.csv",36,24
"Anemia_caffrorum.csv",138,108
"Anemia_lepigera.csv",31,26
"Anginon_difforme.csv",59,45
"Angraecum_calceolus.csv",62,42
"Angraecum_compactum.csv",28,25
"Angraecum_eburneum.csv",65,41
"Angraecum_mauritianum.csv",45,28
"Angraecum_sesquipedale.csv",29,24
"Angraecum_sororium.csv",24,21
"Anisodontea_scabrosa.csv",60,45
"Anisophyllea_boehmii.csv",42,40
"Anisophyllea_fallax.csv",35,28
"Annona_senegalensis.csv",1208,150
"Anredera_cordifolia.csv",1152,56
"Ansellia_africana.csv",100,60
"Anthephora_elongata.csv",49,45
"Anthephora_pubescens.csv",35,21
"Antherotoma_debilis.csv",53,49
"Antherotoma_naudinii.csv",149,90
"Anthocleista_amplexicaulis.csv",40,32
"Anthocleista_grandiflora.csv",110,57
"Anthocleista_madagascariensis.csv",97,68
"Anthospermum_aethiopicum.csv",77,55
"Anthospermum_galioides.csv",30,25
"Anthospermum_herbaceum.csv",96,38
"Anthospermum_monticola.csv",25,23
"Anthospermum_spathulatum.csv",37,35
"Anthostema_madagascariense.csv",45,35
"Antidesma_madagascariense.csv",243,171
"Antidesma_membranaceum.csv",201,57
"Antidesma_venosum.csv",584,189
"Antigonon_leptopus.csv",1814,41
"Antirhea_borbonica.csv",57,37
"Antrophyum_malgassicum.csv",28,22
"Aphananthe_sakalava.csv",32,29
"Aphloia_theiformis.csv",268,186
"Apodocephala_pauciflora.csv",38,31
"Apodolirion_buchananii.csv",28,23
"Apodytes_dimidiata.csv",509,308
"Aponogeton_distachyos.csv",351,56
"Aptosimum_elongatum.csv",23,23
"Aptosimum_indivisum.csv",99,79
"Aptosimum_lineare.csv",107,93
"Aptosimum_procumbens.csv",79,68
"Aptosimum_spinescens.csv",56,49
"Araujia_sericifera.csv",1351,45
"Arctopus_echinatus.csv",98,72
"Arctotheca_calendula.csv",3055,102
"Arctotheca_populifolia.csv",199,66
"Arctotheca_prostrata.csv",165,77
"Arctotis_acaulis.csv",80,59
"Arctotis_arctotoides.csv",90,76
"Arctotis_hirsuta.csv",48,39
"Arctotis_leiocarpa.csv",48,43
"Arctotis_venusta.csv",28,23
"Argemone_mexicana.csv",1910,121
"Argemone_ochroleuca.csv",1388,227
"Argyrella_canescens.csv",110,62
"Argyrolobium_pedunculare.csv",30,23
"Argyrolobium_tomentosum.csv",58,51
"Argyrolobium_tuberosum.csv",31,29
"Aristea_abyssinica.csv",66,47
"Aristea_africana.csv",61,40
"Aristea_angolensis.csv",36,25
"Aristea_bakeri.csv",38,27
"Aristea_capitata.csv",48,29
"Aristea_cladocarpa.csv",32,24
"Aristea_ecklonii.csv",214,44
"Aristea_pusilla.csv",37,31
"Aristea_spiralis.csv",44,28
"Aristea_torulosa.csv",22,21
"Aristida_adscensionis.csv",3277,102
"Aristida_barbicollis.csv",58,51
"Aristida_congesta.csv",108,88
"Aristida_diffusa.csv",49,44
"Aristida_junciformis.csv",78,69
"Aristida_rufescens.csv",54,45
"Aristida_similis.csv",50,45
"Aristida_stipitata.csv",57,55
"Aristolochia_albida.csv",180,90
"Aristolochia_elegans.csv",349,38
"Artabotrys_brachypetalus.csv",32,30
"Artabotrys_madagascariensis.csv",38,32
"Artabotrys_monteiroae.csv",82,66
"Artemisia_afra.csv",97,86
"Arthraxon_hispidus.csv",1579,34
"Arthropteris_monocarpa.csv",192,76
"Arthropteris_orientalis.csv",206,85
"Artocarpus_heterophyllus.csv",964,37
"Arundinella_nepalensis.csv",673,26
"Arundo_donax.csv",4205,90
"Asclepias_albens.csv",46,37
"Asclepias_aurea.csv",38,34
"Asclepias_crispa.csv",38,35
"Asclepias_cucullata.csv",36,30
"Asclepias_curassavica.csv",4255,25
"Asclepias_gibba.csv",39,36
"Asclepias_stellifera.csv",46,39
"Aspalathus_acuminata.csv",59,46
"Aspalathus_alpestris.csv",27,21
"Aspalathus_angustifolia.csv",53,44
"Aspalathus_arida.csv",26,23
"Aspalathus_asparagoides.csv",31,26
"Aspalathus_biflora.csv",22,22
"Aspalathus_chortophila.csv",28,23
"Aspalathus_ciliaris.csv",76,54
"Aspalathus_divaricata.csv",36,27
"Aspalathus_hirta.csv",49,36
"Aspalathus_hispida.csv",66,51
"Aspalathus_juniperina.csv",37,27
"Aspalathus_kougaensis.csv",29,23
"Aspalathus_laricifolia.csv",33,27
"Aspalathus_linearis.csv",38,27
"Aspalathus_nigra.csv",51,40
"Aspalathus_quinquefolia.csv",43,33
"Aspalathus_rubens.csv",40,29
"Aspalathus_setacea.csv",24,21
"Aspalathus_spinosa.csv",99,73
"Aspalathus_tridentata.csv",29,26
"Asparagus_aethiopicus.csv",525,55
"Asparagus_africanus.csv",527,122
"Asparagus_asparagoides.csv",1423,124
"Asparagus_buchananii.csv",40,33
"Asparagus_burchellii.csv",34,32
"Asparagus_capensis.csv",117,91
"Asparagus_declinatus.csv",121,32
"Asparagus_densiflorus.csv",182,46
"Asparagus_denudatus.csv",29,27
"Asparagus_falcatus.csv",133,64
"Asparagus_laricinus.csv",91,79
"Asparagus_lignosus.csv",49,37
"Asparagus_racemosus.csv",313,27
"Asparagus_retrofractus.csv",73,55
"Asparagus_rubicundus.csv",94,61
"Asparagus_scandens.csv",243,23
"Asparagus_setaceus.csv",795,119
"Asparagus_simulans.csv",70,52
"Asparagus_striatus.csv",92,75
"Asparagus_suaveolens.csv",97,83
"Asparagus_vaginellatus.csv",58,51
"Asparagus_virgatus.csv",91,44
"Aspilia_kotschyi.csv",194,39
"Aspilia_mossambicensis.csv",166,87
"Aspilia_natalensis.csv",26,24
"Asplenium_adiantum-nigrum.csv",4078,29
"Asplenium_aethiopicum.csv",617,143
"Asplenium_anisophyllum.csv",93,33
"Asplenium_blastophorum.csv",29,21
"Asplenium_buettneri.csv",55,26
"Asplenium_cordatum.csv",68,54
"Asplenium_dregeanum.csv",164,62
"Asplenium_erectum.csv",134,53
"Asplenium_formosum.csv",533,40
"Asplenium_inaequilaterale.csv",237,46
"Asplenium_mannii.csv",87,36
"Asplenium_nidus.csv",775,37
"Asplenium_poolii.csv",48,31
"Asplenium_protensum.csv",93,35
"Asplenium_rutifolium.csv",146,94
"Asplenium_sandersonii.csv",147,65
"Asplenium_theciferum.csv",227,77
